State,District,Market,Commodity,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,11500,15400,15100
Andhra Pradesh,West Godavari,Chintalapudi,Lemon,700,900,800
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),1650,2550,2000
Gujarat,Bharuch,Bharuch,Cauliflower,1500,2500,2000
Gujarat,Bharuch,Bharuch,Green Chilli,1200,2000,1500
Gujarat,Bharuch,Bharuch,Lemon,2000,3000,2500
Gujarat,Bharuch,Jambusar,Cotton,6300,6700,6500
Gujarat,Bharuch,Jambusar,Maize,2000,2400,2200
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Methi(Leaves),2500,3000,3000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Tomato,1000,1000,1000
Gujarat,Rajkot,Dhoraji,Cotton,6255,7780,7105
Gujarat,Surat,Surat,Elephant Yam (Suran),3500,4300,3900
Gujarat,Surat,Surat,Ginger(Green),3000,5000,4000
Gujarat,Surat,Surat,Little gourd (Kundru),5000,15000,10000
Gujarat,Surat,Surat,Onion,650,2300,1475
Gujarat,Surat,Surat,Papaya (Raw),600,1300,950
Gujarat,Surat,Surat,Pumpkin,1100,2900,2000
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),7000,8500,7750
Gujarat,Surat,Surat,Tomato,700,2800,1750
Haryana,Gurgaon,Gurgaon,Cabbage,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Carrot,1500,2500,2000
Haryana,Gurgaon,Pataudi,Pomegranate,11000,12000,11500
Haryana,Gurgaon,Pataudi,Tomato,2500,3000,2800
Haryana,Hissar,Barwala(Hisar),Ginger(Green),7000,8000,7500
Haryana,Hissar,Barwala(Hisar),Guava,2500,3000,2800
Haryana,Hissar,Barwala(Hisar),Onion,1400,1800,1700
Haryana,Hissar,Barwala(Hisar),Potato,1200,1400,1300
Haryana,Hissar,Uklana,Raddish,700,800,800
Haryana,Kurukshetra,Pehowa,Potato,1500,1650,1600
Haryana,Mewat,Punhana,Onion,1200,1200,1200
Haryana,Panchkula,Barwala,Brinjal,1500,2000,1750
Haryana,Panchkula,Barwala,Onion,1200,1400,1300
Haryana,Panchkula,Barwala,Peas cod,10000,10000,10000
Haryana,Panchkula,Barwala,Potato,1000,1000,1000
Haryana,Panipat,Panipat,Bottle gourd,500,700,600
Haryana,Panipat,Panipat,Cucumbar(Kheera),800,1200,1000
Haryana,Panipat,Panipat,Onion,700,1300,1000
Haryana,Panipat,Panipat,Pomegranate,4000,7000,5500
Haryana,Panipat,Panipat,Tomato,1000,2500,1750
Haryana,Panipat,Panipat(Baharpur),Paddy(Dhan)(Basmati),3600,4000,3800
Haryana,Rewari,Kosli,Brinjal,1000,1000,1000
Haryana,Rewari,Kosli,Tomato,2500,2500,2500
Haryana,Rohtak,Meham,Bottle gourd,3000,3000,3000
Haryana,Rohtak,Meham,Mousambi(Sweet Lime),3000,3000,3000
Haryana,Sonipat,Gohana,Brinjal,2000,4000,3000
Haryana,Sonipat,Gohana,Onion,1000,2500,1600
Haryana,Sonipat,Gohana,Orange,3000,5000,4000
Haryana,Sonipat,Gohana,Potato,1200,3000,2000
Haryana,Sonipat,Gohana,Raddish,1000,1500,1400
Himachal Pradesh,Kangra,Dharamshala,Apple,6000,10000,8000
Himachal Pradesh,Kangra,Dharamshala,Banana,4100,4500,4300
Himachal Pradesh,Kangra,Dharamshala,Green Chilli,5500,6000,5750
Himachal Pradesh,Kangra,Dharamshala,Mousambi(Sweet Lime),4500,5000,4750
Himachal Pradesh,Kangra,Dharamshala,Papaya,4000,4500,4250
Himachal Pradesh,Kangra,Kangra(Baijnath),Banana,3500,3600,3500
Himachal Pradesh,Kangra,Kangra(Baijnath),Bhindi(Ladies Finger),3500,3600,3500
Himachal Pradesh,Kangra,Kangra(Baijnath),Brinjal,2500,2800,2700
Himachal Pradesh,Kangra,Kangra(Baijnath),Ginger(Green),7000,7500,7200
Himachal Pradesh,Kangra,Kangra(Baijnath),Green Chilli,4000,4200,4100
Himachal Pradesh,Kangra,Kangra(Baijnath),Tomato,2800,3000,2900
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Mousambi(Sweet Lime),6000,6200,6100
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Persimon(Japani Fal),7000,10000,8500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Potato,1700,2400,2100
Himachal Pradesh,Mandi,Chail Chowk ,Peas cod,8000,10000,9000
Himachal Pradesh,Shimla,Rohroo,Bitter gourd,2500,3000,2800
Himachal Pradesh,Shimla,Rohroo,Brinjal,2500,3000,2800
Himachal Pradesh,Shimla,Rohroo,Capsicum,3500,5000,4000
Himachal Pradesh,Shimla,Rohroo,Cauliflower,2000,2500,2200
Himachal Pradesh,Shimla,Rohroo,Lemon,5000,7000,6000
Himachal Pradesh,Shimla,Rohroo,Papaya,4000,5000,4500
Himachal Pradesh,Solan,Solan(Nalagarh),Bottle gourd,2000,3000,2500
Himachal Pradesh,Solan,Solan(Nalagarh),Capsicum,4000,5000,4500
Himachal Pradesh,Solan,Solan(Nalagarh),Ginger(Green),2500,3500,3000
Himachal Pradesh,Solan,Solan(Nalagarh),Pumpkin,1000,1500,1300
Himachal Pradesh,Una,Santoshgarh,Pomegranate,11500,11500,11500
Himachal Pradesh,Una,Santoshgarh,Spinach,1700,1800,1750
Himachal Pradesh,Una,Santoshgarh,Tomato,2200,2500,2350
Jammu and Kashmir,Jammu,Batote,Apple,3000,3400,3200
Jammu and Kashmir,Kathua,Kathua,Cauliflower,2000,2200,2100
Jammu and Kashmir,Kathua,Kathua,Ginger(Green),6000,6500,6250
Jammu and Kashmir,Kathua,Kathua,Papaya,3500,4000,3750
Jammu and Kashmir,Kathua,Kathua,Peas Wet,8000,9000,8500
Jammu and Kashmir,Kathua,Kathua,Pineapple,3000,4000,3500
Jammu and Kashmir,Kathua,Kathua,Potato,1300,1400,1350
Jammu and Kashmir,Kathua,Kathua,Raddish,500,600,550
Jammu and Kashmir,Kathua,Kathua,Turnip,2000,2200,2100
Jammu and Kashmir,Udhampur,Udhampur,Brinjal,2500,3000,2750
Jammu and Kashmir,Udhampur,Udhampur,Papaya,6000,6500,6250
Jammu and Kashmir,Udhampur,Udhampur,Tomato,2000,2500,2250
Karnataka,Bangalore,Ramanagara,Capsicum,6000,8000,7200
Karnataka,Bangalore,Ramanagara,Sweet Pumpkin,1200,1600,1400
Karnataka,Chamrajnagar,Chamaraj Nagar,Beetroot,1000,1500,1300
Karnataka,Chamrajnagar,Chamaraj Nagar,Coconut,15000,33000,25900
Karnataka,Chamrajnagar,Chamaraj Nagar,Paddy(Dhan)(Common),2000,2000,2000
Karnataka,Chamrajnagar,Chamaraj Nagar,Ridgeguard(Tori),2500,3000,2750
Karnataka,Chamrajnagar,Chamaraj Nagar,Tender Coconut,20000,20000,20000
Karnataka,Chamrajnagar,Chamaraj Nagar,Turmeric,12500,12500,12500
Karnataka,Dharwad,Kalagategi,Maize,1650,2000,1800
Karnataka,Mangalore(Dakshin Kannad),Belthangdi,Arecanut(Betelnut/Supari),27000,37000,29000
Karnataka,Shimoga,Bhadravathi,Bengal Gram(Gram)(Whole),8831,8831,8831
Kerala,Alappuzha,Chengannur,Banana - Green,3000,3300,3200
Kerala,Alappuzha,Chengannur,Bitter gourd,5900,6200,6000
Kerala,Alappuzha,Chengannur,Onion,2100,2400,2200
Kerala,Alappuzha,Chengannur,Potato,3800,4100,4000
Kerala,Alappuzha,Harippad,Amaranthus,5000,5500,5000
Kerala,Alappuzha,Harippad,Beetroot,5000,5500,5000
Kerala,Alappuzha,Harippad,Carrot,6000,6500,6000
Kerala,Alappuzha,Harippad,Cowpea(Veg),4000,4500,4000
Kerala,Alappuzha,Harippad,Onion,2200,2700,2200
Kerala,Ernakulam,Aluva,Cowpea(Veg),3500,5000,4300
Kerala,Ernakulam,Aluva,Ginger(Green),7000,10000,8500
Kerala,Ernakulam,Aluva,Mango (Raw-Ripe),4000,6000,5000
Kerala,Ernakulam,Aluva,Tapioca,2000,3000,2500
Kerala,Ernakulam,Angamaly,Amaranthus,2500,3500,3000
Kerala,Ernakulam,Angamaly,Ashgourd,3400,4500,4000
Kerala,Ernakulam,Angamaly,Brinjal,4000,5000,4500
Kerala,Ernakulam,Angamaly,Colacasia,4000,6000,5000
Kerala,Ernakulam,Angamaly,Onion,2800,3400,3000
Kerala,Ernakulam,Angamaly,Potato,3500,5000,4000
Kerala,Ernakulam,Angamaly,Tapioca,2500,3500,3000
Kerala,Ernakulam,Broadway market,Bitter gourd,5400,7000,5600
Kerala,Ernakulam,Broadway market,Brinjal,5000,6000,5200
Kerala,Ernakulam,Broadway market,Cucumbar(Kheera),2800,4000,3000
Kerala,Ernakulam,Broadway market,Elephant Yam (Suran),5500,6600,5700
Kerala,Ernakulam,Broadway market,Potato,3500,5000,3700
Kerala,Ernakulam,Ernakulam,Amaranthus,3100,3500,3400
Kerala,Ernakulam,Perumbavoor,Amaranthus,2300,3300,2800
Kerala,Ernakulam,Perumbavoor,Drumstick,8200,9200,8800
Kerala,Ernakulam,Perumbavoor,Mango (Raw-Ripe),6800,7800,7200
Kerala,Ernakulam,Perumbavoor,Snakeguard,3500,4500,4000
